id,passwd,Belong,name,depart,profession,score,time-begin,time-end
1000092,s123456,S,周秀荣,风暴潮预警,行业专家,10.0,8:00,23:00
1000093,s123456,S,武霞,风暴潮预警,研究员,10.0,7:00,19:00
1000094,s123456,S,彭秀珍,风暴潮预警,研究员,10.0,6:00,19:00
1000095,s123456,S,颜红梅,风暴潮预警,审核专员,10.0,6:00,17:00
1000096,s123456,S,崔秀珍,风暴潮预警,审核专员,10.0,7:00,18:00
1000097,s123456,S,李凯,沿海洪水风险管理,负责人,10.0,8:00,18:00
1000098,s123456,S,姚凯,沿海洪水风险管理,行业专家,10.0,6:00,16:00
1000099,s123456,S,欧建国,沿海洪水风险管理,研究员,10.0,8:00,22:00
1000100,s123456,S,徐艳,沿海洪水风险管理,研究员,10.0,6:00,19:00
1000101,s123456,S,文帆,沿海洪水风险管理,审核专员,10.0,6:00,17:00
1000102,s123456,S,郑淑英,沿海洪水风险管理,审核专员,10.0,6:00,16:00
1000103,s123456,S,苟桂兰,厄尔尼诺,负责人,10.0,7:00,18:00
1000104,s123456,S,盛英,厄尔尼诺,行业专家,10.0,7:00,22:00
1000105,s123456,S,王丽娟,厄尔尼诺,研究员,10.0,8:00,21:00
1000106,s123456,S,章文,厄尔尼诺,研究员,10.0,8:00,18:00
1000107,s123456,S,桂涛,厄尔尼诺,审核专员,10.0,6:00,16:00
1000108,s123456,S,陈勇,厄尔尼诺,审核专员,10.0,6:00,16:00
