id,passwd,Belong,name,age,gender,aim
3000160,v123456,V,李志强,52,female,海洋灾害应急响应
3000161,v123456,V,侯明,41,male,海洋环境教育活动
3000162,v123456,V,潘龙,19,female,海洋污染物扩散研究
3000163,v123456,V,吴雷,25,male,海洋灾害保险评估
3000164,v123456,V,卢玲,19,male,海洋气象研究
3000165,v123456,V,梁桂荣,44,male,海洋环境监测数据处理
3000166,v123456,V,方磊,23,male,海洋生物栖息地研究
3000167,v123456,V,许燕,60,male,海洋水文气象研究
3000168,v123456,V,陈畅,33,female,海洋环境保护科技成果转化
3000169,v123456,V,刘欢,32,female,海洋资源管理
3000170,v123456,V,杨凯,57,male,海洋水文气象研究
3000171,v123456,V,何帆,57,female,海洋生态系统服务功能保护
3000172,v123456,V,刘丽娟,55,male,海洋资源可持续利用研究
3000173,v123456,V,张丽华,38,male,海洋生态系统管理政策
3000174,v123456,V,冉明,56,female,海洋生物资源保护与管理
3000175,v123456,V,樊秀梅,38,female,海洋生态系统模型开发
3000176,v123456,V,萧晨,55,male,海洋地理信息系统开发
3000177,v123456,V,洪丽丽,65,male,沿海土地利用规划
3000178,v123456,V,沈云,52,female,海洋观测数据共享
3000179,v123456,V,李文,39,female,海洋热含量研究
3000180,v123456,V,李洁,23,female,海洋健康指数研究
3000181,v123456,V,冼桂英,37,female,卫星遥感数据验证
3000182,v123456,V,罗浩,37,female,海洋污染物扩散研究
3000183,v123456,V,王莹,34,female,气候模型验证
3000184,v123456,V,张晶,50,female,海洋资源管理政策研究
3000185,v123456,V,张宇,42,female,海洋环境教育活动设计
3000186,v123456,V,陈楠,39,female,水产养殖规划
3000187,v123456,V,蒋秀珍,33,female,海洋温度变化研究
3000188,v123456,V,顾杰,33,female,海洋生态环境管理措施
3000189,v123456,V,宋秀华,35,female,海洋资源保护政策制定
3000190,v123456,V,赵兵,67,male,海洋环境保护教育推广
3000191,v123456,V,阎磊,29,female,海洋生态系统模型开发
3000192,v123456,V,王桂英,67,male,海洋环境保护技术开发
3000193,v123456,V,黄明,36,female,海洋垃圾监测
3000194,v123456,V,王云,28,female,海洋环境教育资源开发
3000195,v123456,V,沙军,64,female,海洋生态系统管理政策
3000196,v123456,V,师芳,33,female,海洋气候变化影响评估
3000197,v123456,V,康雪梅,36,female,环境影响评估
3000198,v123456,V,常玉梅,62,male,海洋科学技术合作
3000199,v123456,V,何建,52,female,海洋环境保护技术研究
3000200,v123456,V,洪健,19,male,全球水循环研究
3000201,v123456,V,张晶,31,male,水下考古研究
3000202,v123456,V,刘桂芝,47,male,海洋温度变化研究
3000203,v123456,V,周桂花,55,male,海洋环境监测设备开发
3000204,v123456,V,李秀英,49,male,海洋科学技术合作
3000205,v123456,V,何勇,25,male,海洋教育计划开发
3000206,v123456,V,金淑珍,55,female,海洋资源保护管理政策研究
3000207,v123456,V,黄琴,20,male,海洋温度变化研究
3000208,v123456,V,胡波,52,male,海洋旅游业发展
3000209,v123456,V,张柳,67,male,海洋生态系统服务功能保护
3000210,v123456,V,赵磊,62,male,海洋生态环境保护政策评估
3000211,v123456,V,马琴,70,male,海洋环境保护科技成果转化
3000212,v123456,V,王雪,24,male,海洋能量研究
3000213,v123456,V,郑磊,69,female,海洋生物资源利用管理
3000214,v123456,V,姚桂香,26,male,海洋生物资源保护与管理
3000215,v123456,V,牛兰英,47,male,海洋灾害应急响应
3000216,v123456,V,侯桂英,31,male,卫星遥感数据验证
3000217,v123456,V,郭秀华,26,male,海洋保护区规划
3000218,v123456,V,孟秀珍,41,female,海洋生态系统恢复研究
3000219,v123456,V,陈颖,59,male,海洋环境保护技术研究
3000220,v123456,V,唐桂英,26,female,海洋资源保护政策制定
3000221,v123456,V,周英,55,male,热带气旋研究
3000222,v123456,V,邓晨,42,female,海洋资源开发技术创新
3000223,v123456,V,盛宁,30,male,海洋科学会议与合作
3000224,v123456,V,王杰,20,female,海洋环境保护措施研究
3000225,v123456,V,袁旭,56,male,海洋资源开发与保护
3000226,v123456,V,李平,48,female,洪水风险预测
3000227,v123456,V,姜玉英,39,female,海洋生物多样性保护措施
3000228,v123456,V,李玉,27,female,海洋环境保护技术推广
3000229,v123456,V,叶桂英,30,male,全球水循环研究
3000230,v123456,V,李敏,49,female,沿海防护工程设计
3000231,v123456,V,何敏,68,female,海洋气象预报模型开发
3000232,v123456,V,郑静,58,male,海洋资源开发政策研究
3000233,v123456,V,郑艳,31,male,海洋风暴研究
3000234,v123456,V,林玉梅,56,female,海洋污染监测
3000235,v123456,V,郑淑珍,51,female,海岸线变化监测
3000236,v123456,V,韩峰,45,female,港口规划
3000237,v123456,V,李英,65,female,海洋气候变化影响研究
3000238,v123456,V,朱旭,28,male,沿海湿地保护
3000239,v123456,V,张亮,68,female,海洋环境保护措施研究
3000240,v123456,V,石娜,52,male,海洋公园管理
3000241,v123456,V,李秀兰,56,female,海洋环境保护技术开发
3000242,v123456,V,解红梅,49,female,海洋环境保护政策评估
3000243,v123456,V,张明,37,male,海洋碳循环研究
3000244,v123456,V,王玉珍,49,female,海洋碳循环模型开发
3000245,v123456,V,周伟,28,male,海洋气候变化影响评估
3000246,v123456,V,邝凤英,23,male,海洋生态环境管理
3000247,v123456,V,刘峰,30,female,海岸侵蚀评估
3000248,v123456,V,金秀梅,51,male,海洋环境保护措施研究
3000249,v123456,V,鲍淑珍,20,male,海洋污染物扩散研究
3000250,v123456,V,曾超,52,female,海洋碳循环研究
3000251,v123456,V,任凤兰,38,female,热带气旋研究
3000252,v123456,V,周阳,27,male,海洋污染治理
3000253,v123456,V,林红梅,35,male,海洋资源开发与利用
3000254,v123456,V,胡华,61,female,海洋环境管理政策研究
3000255,v123456,V,李龙,69,female,海洋生物多样性保护措施
3000256,v123456,V,李兵,46,female,海洋公园管理
3000257,v123456,V,杨飞,48,male,海平面上升监测
3000258,v123456,V,曹红,21,male,海洋生态系统保护措施
3000259,v123456,V,张强,62,female,海洋公园管理
3000260,v123456,V,徐波,23,female,海洋气候变化影响评估
3000261,v123456,V,李瑜,35,male,地球系统科学研究
3000262,v123456,V,高宁,38,female,海洋生态修复
3000263,v123456,V,王文,20,male,海洋生态环境变化研究
3000264,v123456,V,潘红霞,64,female,海洋环境保护技术推广
3000265,v123456,V,秦桂香,19,male,海洋生态环境管理措施
3000266,v123456,V,舒磊,54,female,海洋气候变化适应策略研究
3000267,v123456,V,钟建国,19,female,风暴潮风险评估
3000268,v123456,V,曾丽,57,female,地震与海啸研究
3000269,v123456,V,鞠玉华,67,male,船舶设计优化
3000270,v123456,V,张梅,58,male,海洋酸化研究
3000271,v123456,V,段建军,27,female,海洋水文气象研究
3000272,v123456,V,张鹏,58,female,海洋资源保护与管理
3000273,v123456,V,姚坤,65,male,海洋资源管理
3000274,v123456,V,范颖,21,male,卫星遥感数据验证
3000275,v123456,V,张秀梅,70,male,海洋生物栖息地恢复
3000276,v123456,V,李岩,42,female,沿海社区规划
3000277,v123456,V,杜阳,56,male,海洋环境法研究
3000278,v123456,V,李玲,40,male,海洋数据同化
3000279,v123456,V,黎梅,30,female,海洋环境监测数据共享平台
3000280,v123456,V,徐建平,50,male,海洋生态环境保护技术
3000281,v123456,V,周桂荣,48,female,海洋公园管理
3000282,v123456,V,张旭,58,male,海洋资源利用效率提升
3000283,v123456,V,白云,18,male,海洋科学技术合作项目
3000284,v123456,V,高楠,19,male,海洋科学技术研究成果推广
3000285,v123456,V,姜丽,55,female,海洋生态系统服务评估方法
3000286,v123456,V,冯彬,69,male,海洋环境风险管理
3000287,v123456,V,孔小红,49,male,海洋资源开发技术推广
3000288,v123456,V,张超,19,male,海洋保护区规划
3000289,v123456,V,古刚,65,male,海洋保护区规划
3000290,v123456,V,王林,45,female,海洋教育资源开发
3000291,v123456,V,梁玲,52,female,海洋生态系统服务评估
3000292,v123456,V,黄平,29,male,气候模型验证
3000293,v123456,V,何欢,27,female,海洋生物资源利用管理
3000294,v123456,V,王宇,53,female,海洋资源开发技术推广
3000295,v123456,V,纪帆,65,female,海岸带生态恢复
3000296,v123456,V,潘彬,51,male,海洋生态系统服务评估
3000297,v123456,V,周健,48,male,海洋生态系统保护政策制定
3000298,v123456,V,范平,26,female,海洋教育计划开发
3000299,v123456,V,朱霞,70,female,海洋气候预测
3000300,v123456,V,梁玉华,28,male,海洋生物多样性监测技术
3000301,v123456,V,王秀华,61,male,海洋环境保护技术研究
3000302,v123456,V,黄雪,51,male,海洋水文气象研究
3000303,v123456,V,王淑华,48,female,风暴潮风险评估
3000304,v123456,V,兰璐,40,female,全球变暖研究
3000305,v123456,V,童丹,34,male,海洋环境教育资源开发
3000306,v123456,V,韦晨,36,female,海洋气象研究
3000307,v123456,V,张坤,43,female,海洋环境保护措施研究
3000308,v123456,V,姚杨,28,female,海洋环境教育项目推广
3000309,v123456,V,杜玉梅,35,female,海洋科学技术合作
3000310,v123456,V,罗雪,40,female,海洋污染治理
3000311,v123456,V,邢凤兰,63,male,海洋资源开发与保护
3000312,v123456,V,邢梅,20,male,热带气旋研究
3000313,v123456,V,戚璐,33,male,深海探测
3000314,v123456,V,王玉珍,39,female,海洋法律与政策研究
3000315,v123456,V,王雷,46,female,冰盖研究
3000316,v123456,V,陈桂芝,18,male,海洋生物资源评估
3000317,v123456,V,刘佳,58,female,海洋科学技术创新成果
3000318,v123456,V,倪颖,41,female,海洋气候预测
3000319,v123456,V,许杨,49,male,海洋环境教育
3000320,v123456,V,梁淑兰,58,female,海洋生物栖息地研究
3000321,v123456,V,侯燕,49,male,海洋资源开发政策研究
3000322,v123456,V,郑阳,20,male,海洋污染物扩散研究
3000323,v123456,V,黄秀珍,46,male,海洋环境风险防范措施
3000324,v123456,V,李玉兰,50,male,海洋生态系统服务功能保护
3000325,v123456,V,侯莉,64,male,海洋教育计划开发
3000326,v123456,V,杨强,23,female,海洋环境保护技术推广
3000327,v123456,V,刘斌,22,female,海洋水质监测
3000328,v123456,V,王颖,65,female,海洋生物资源保护
3000329,v123456,V,李淑华,57,female,海洋科学技术研究成果推广
3000330,v123456,V,蔡慧,20,female,海洋环境教育活动
3000331,v123456,V,王勇,64,male,海洋环境预报
3000332,v123456,V,姬艳,68,male,海洋风能开发
3000333,v123456,V,张丹丹,39,male,海洋资源探测
3000334,v123456,V,何文,55,male,海洋环境预报
3000335,v123456,V,刘雪梅,37,male,海洋环境教育活动设计
3000336,v123456,V,曾凤兰,32,female,海洋环境风险防范措施
3000337,v123456,V,丁亮,29,male,海洋生态系统模型优化
3000338,v123456,V,王凯,31,female,海洋科学技术成果应用
3000339,v123456,V,郑杨,27,female,海洋灾害应急响应
3000340,v123456,V,马冬梅,51,male,海洋生态环境监测技术
3000341,v123456,V,丁玉英,18,female,水产养殖规划
3000342,v123456,V,施博,65,male,海洋环境教育项目
3000343,v123456,V,王金凤,37,male,海洋经济研究
3000344,v123456,V,沈楠,41,male,海洋生态系统恢复研究
3000345,v123456,V,张东,60,female,海洋生态系统保护政策制定
3000346,v123456,V,王娜,32,male,海岸带生态恢复
3000347,v123456,V,梁建平,23,female,海洋生物迁徙研究
3000348,v123456,V,刘秀珍,28,female,海岸侵蚀评估
3000349,v123456,V,谢秀芳,41,male,气候变化研究
3000350,v123456,V,陈琴,39,female,海洋资源利用效率提升
3000351,v123456,V,孙淑华,21,female,海洋数据共享平台开发
3000352,v123456,V,吴秀兰,38,female,海洋灾害应急预案制定
3000353,v123456,V,江鹏,28,female,海洋环境教育活动推广
3000354,v123456,V,向龙,50,female,海洋资源保护管理政策研究
3000355,v123456,V,王莉,36,female,海洋经济研究
3000356,v123456,V,陈云,34,male,海洋资源利用效率研究
3000357,v123456,V,何金凤,56,male,海洋环境教育活动
3000358,v123456,V,陈琴,43,female,海洋环境监测数据处理
3000359,v123456,V,赵红梅,67,female,海洋教育资源开发
3000360,v123456,V,李红梅,28,male,海洋旅游业发展
3000361,v123456,V,孙彬,45,female,海洋环境监测数据处理技术
3000362,v123456,V,郑冬梅,25,female,海洋观测网络建设
3000363,v123456,V,杜秀珍,64,male,海洋资源开发技术研究
3000364,v123456,V,陈俊,30,male,洪水风险预测
3000365,v123456,V,王娜,48,female,海洋生态系统服务功能评估
3000366,v123456,V,陈强,35,female,海洋数据同化
3000367,v123456,V,冯林,20,male,海洋生态系统服务功能评估
3000368,v123456,V,杜宁,67,male,航道疏浚计划
3000369,v123456,V,韩鑫,70,male,海洋教育计划开发
3000370,v123456,V,朱桂荣,19,female,海洋科研船计划
3000371,v123456,V,林辉,57,female,海洋健康指数研究
3000372,v123456,V,梁倩,25,male,海洋灾害管理
3000373,v123456,V,焦畅,41,female,海洋资源保护管理措施
3000374,v123456,V,马金凤,62,female,海洋酸化对生态系统影响研究
3000375,v123456,V,邱成,55,female,海洋生态系统模型优化
3000376,v123456,V,张凤英,48,female,海洋科学技术合作项目
3000377,v123456,V,麦秀荣,24,female,海啸预警系统
3000378,v123456,V,郑雪梅,18,male,地质灾害监测
3000379,v123456,V,王玉华,63,male,海洋生态系统服务功能保护
3000380,v123456,V,唐桂英,67,male,海洋气候变化适应措施
3000381,v123456,V,朱想,23,female,海洋环境教育资源推广
3000382,v123456,V,韦帅,56,male,海洋碳吸收研究
3000383,v123456,V,孙杨,39,female,海洋观测网络建设
3000384,v123456,V,许华,19,female,海洋能量研究
3000385,v123456,V,沈旭,44,female,气候变化研究
3000386,v123456,V,李晨,69,male,海洋科学技术创新成果
3000387,v123456,V,张俊,29,male,海洋生物资源利用管理
3000388,v123456,V,胡坤,34,male,航运路线优化
3000389,v123456,V,严杰,53,female,海洋生物资源评估
3000390,v123456,V,韦桂芝,26,female,海洋酸化研究
3000391,v123456,V,潘桂英,26,female,海洋灾害管理
3000392,v123456,V,何海燕,37,female,航运路线优化
3000393,v123456,V,谢芳,54,female,海岸带管理
3000394,v123456,V,李秀云,44,female,海洋生态系统服务评估
3000395,v123456,V,陈明,70,male,海洋环境监测数据共享平台
3000396,v123456,V,蒋成,42,female,海洋资源可持续利用研究
3000397,v123456,V,陈桂兰,38,female,海洋科学技术研究成果推广
3000398,v123456,V,郭小红,62,male,海洋资源开发技术创新
3000399,v123456,V,韩海燕,20,male,海洋资源保护与开发政策
3000400,v123456,V,李丹,30,male,港口规划
3000401,v123456,V,陈桂芳,70,female,海洋生物多样性保护政策
3000402,v123456,V,樊丽华,26,male,海洋观测网络建设
3000403,v123456,V,杨娜,44,female,航道疏浚计划
3000404,v123456,V,黄涛,66,male,海洋生态环境管理措施
3000405,v123456,V,朱丹,45,male,海洋资源开发利用技术
3000406,v123456,V,戴莹,33,female,海洋生物多样性保护政策
3000407,v123456,V,赖磊,64,female,海洋数据可视化
3000408,v123456,V,刘波,64,female,海洋环境监测数据处理
3000409,v123456,V,徐红霞,54,male,海洋灾害应急预案制定
3000410,v123456,V,崔敏,61,male,海洋公园管理
3000411,v123456,V,惠海燕,24,female,海洋资源利用效率研究
3000412,v123456,V,文瑜,47,female,海洋微塑料研究
3000413,v123456,V,吕建国,46,female,海洋水文气象研究
3000414,v123456,V,韦玉,45,male,海洋生态系统管理政策
3000415,v123456,V,张楠,34,female,海洋生态系统服务评估方法
3000416,v123456,V,曹兰英,60,male,海洋环境教育
3000417,v123456,V,刘波,27,female,海洋生态系统服务功能保护
3000418,v123456,V,何峰,64,male,气候变化研究
3000419,v123456,V,杨建华,51,female,海洋酸化研究
3000420,v123456,V,刘晨,21,male,海洋生态修复
3000421,v123456,V,顾桂芝,26,male,洪水风险预测
3000422,v123456,V,戴玲,47,female,渔业管理
3000423,v123456,V,帅桂花,21,female,海洋气候预测
3000424,v123456,V,戴佳,57,female,海洋垃圾监测
3000425,v123456,V,卞莹,18,male,海洋生态环境管理措施
3000426,v123456,V,章玉华,18,male,海洋环境保护措施研究
3000427,v123456,V,张阳,63,male,海洋环境保护技术推广
3000428,v123456,V,刘建,66,female,海洋教育资源开发
3000429,v123456,V,王柳,32,male,海洋气候变化适应策略研究
3000430,v123456,V,陈杨,44,male,海洋科学技术成果应用
3000431,v123456,V,刘淑英,24,female,海洋环境法研究
3000432,v123456,V,贾秀兰,25,male,海洋科学会议与合作
3000433,v123456,V,孙桂荣,60,male,海洋气候变化影响评估
3000434,v123456,V,孙涛,37,male,海洋环境保护技术推广
3000435,v123456,V,韦博,25,female,海洋观测数据共享
3000436,v123456,V,陈柳,61,female,海洋气象预报模型开发
3000437,v123456,V,张晶,21,male,海洋碳循环研究
3000438,v123456,V,李鹏,35,female,海洋科学技术合作项目
3000439,v123456,V,梅颖,67,male,海洋资源利用效率研究
3000440,v123456,V,文霞,66,male,海洋生态环境管理措施
3000441,v123456,V,王金凤,46,male,海洋生态系统恢复研究
3000442,v123456,V,李明,50,male,冰盖研究
3000443,v123456,V,马伟,65,female,海洋资源利用效率研究
3000444,v123456,V,辛云,43,female,海洋环境风险评估
3000445,v123456,V,易婷,61,male,海岸线变化监测
3000446,v123456,V,凌霞,50,female,海洋资源开发规划
3000447,v123456,V,杨丽华,30,female,港口运营优化
3000448,v123456,V,王宁,26,male,海洋生物资源评估
3000449,v123456,V,耿凯,66,male,海洋环境监测网络建设
3000450,v123456,V,毛秀珍,30,male,海洋热含量研究
3000451,v123456,V,张坤,47,male,海洋资源勘探与开发
3000452,v123456,V,黄明,18,male,海洋环境保护技术推广
3000453,v123456,V,朱淑珍,43,female,海洋生态环境监测技术
3000454,v123456,V,黄娜,24,female,海洋环境监测技术开发
3000455,v123456,V,何玉,49,female,海洋资源保护政策制定
3000456,v123456,V,周桂荣,52,female,海洋沉积物研究
3000457,v123456,V,王林,29,female,海洋环境教育活动推广
3000458,v123456,V,伍桂芝,62,female,海洋环境教育计划
3000459,v123456,V,甘桂芝,30,female,海洋生物多样性监测技术
3000460,v123456,V,张欣,48,male,海洋资源探测
3000461,v123456,V,车秀英,34,male,海洋污染监测
3000462,v123456,V,叶桂花,28,female,海洋资源探测
3000463,v123456,V,傅瑜,25,male,海洋环境监测设备开发
3000464,v123456,V,霍健,33,female,海洋环境教育计划
3000465,v123456,V,郭畅,54,male,海洋环境监测数据分析方法
3000466,v123456,V,朱凤兰,22,male,海洋生态环境监测技术
3000467,v123456,V,骆柳,19,male,海洋气候变化影响分析
3000468,v123456,V,陈辉,25,male,海洋环境监测与评估
3000469,v123456,V,马桂兰,46,male,海洋环境保护科技成果转化
3000470,v123456,V,吴凤英,38,male,海洋资源利用效率研究
3000471,v123456,V,李红,70,female,全球变暖研究
